topic slug	topic title	topic type	wikipedia link	link audited	approval status	review note	comments
bj-armstrong	Bj Armstrong	person		no	pending	No suitable article found. Benjamin 'BJ' Armstrong, naval historian and Naval Academy professor, is established by authored reading recommendations and the USNA biography. Searches did not find a suitable dedicated English Wikipedia biography; the basketball player's article is a different person.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-03-07_T18-14-29_bruships-40-favourite-books-to-use-when-writing_tjQuDeKePdU.json #recommended-academic-naval-historians. Additional context references: 2. Supporting or alternative sources: https://usna.edu/History/Faculty/individual/Armstrong.php; https://www.usni.org/people/benjamin-armstrong.
bl-15-inch-mark-i-naval-gun	BL 15-inch Mark I Naval Gun	specific weapon system	https://en.wikipedia.org/wiki/BL_15-inch_Mk_I_naval_gun	yes	approved	Phase 2: The article identifies the British BL 15-inch Mark I capital-ship gun, matching exact registry aliases and authored Vanguard gun-pool discussion.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-08-17_T17-04-25_patreon-video-4-tsingtao-1939-goes-hot_dkoGo0iDl18.json#british-15-inch-gun-production-in-1939. Phase 2 independent review by audit_batch2; article revision 1342248622. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bl-15-inch-mark-i-naval-gun.
bl-18-inch-mark-i-naval-gun	BL 18-inch Mark I Naval Gun	specific weapon system	https://en.wikipedia.org/wiki/BL_18-inch_Mk_I_naval_gun	yes	approved	Phase 2: Article identifies the British BL 18-inch Mark I developed for Furious and built in three examples, matching the registry and monitor-armament context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-03-03_T23-00-12_naval-fire-support-of-the-wwi-western-front-long-patrol-part-3-lord-clive-class-m6-9_J-jFuziSt3E.json#lord-clive-class-design-and-armament. Phase 2 independent review by audit_batch3; article revision 1295841813. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bl-18-inch-mark-i-naval-gun.
bl-4-inch-mark-vii-naval-gun	BL 4-inch Mark VII Naval Gun	specific weapon system	https://en.wikipedia.org/wiki/BL_4-inch_Mk_VII_naval_gun	yes	approved	Phase 2: Article identifies the British 1908 BL 4-inch Mark VII gun, matching the scout-cruiser armament and registry aliases.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2022-05-24_T18-00-07_boadicea-class-1907-scout-cruiser-long-patrol_S4Uoq3goATs.json#four-inch-guns-and-mounting-layout. Phase 2 independent review by audit_batch4; article revision 1161100744. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bl-4-inch-mark-vii-naval-gun.
black-knight	Black Knight	specific weapon system	https://en.wikipedia.org/wiki/Black_Knight_(rocket)	yes	approved	Phase 2: The sole authored question concerns an alternative Black Knight ballistic weapon. The parent article explicitly covers Armstrong-Siddeley's proposed IRBM adaptation, including a larger vehicle and more powerful engine, alongside the research rocket. That substantive proposed-system coverage supports the intended missile-development referent.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-09-24_T18-07-02_bruships-naval-history-questions-answered-till-the-bru-runs-out_94ViyM3r36A.json #blue-water-missiles-and-soviet-targeting. Phase 2 independent review by audit_batch5; article revision 1336211758. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #black-knight. Coordinator adjudication after additional article and complete-context review; initial finding retained in the Phase 2 evidence record.
black-star	Black Star	individual ship	https://en.wikipedia.org/wiki/KD_Hang_Tuah	yes	approved	Phase 2: The article follows the Ghana presidential-frigate project through Black Star, HMS Mermaid and Malaysian Hang Tuah, matching the authored hull despite its later name.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-10-31_T18-00-37_bruships-58-some-cool-books-and-naval-history-chat_fO-ZaaH8nJc.json #ghana-black-star-as-presidential-yacht. Phase 2 independent review by audit_batch2; article revision 1368342712. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #black-star.
black-swan-class-sloops	Black Swan Class Sloops	ship class	https://en.wikipedia.org/wiki/Black_Swan-class_sloop	yes	approved	Phase 2: Article explicitly covers Black Swan and Modified Black Swan sloops, matching the Royal Navy escort contexts.	Phase 2 independent review by audit_batch0; article revision 1371715603. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #black-swan-class-sloops.
black-swan-sloop-concept-2012	Black Swan Sloop Concept (2012)	ship class	https://en.wikipedia.org/wiki/Black_Swan-class_sloop_(2012)	yes	approved	Phase 2: The article identifies the Royal Navy's named 2012 conceptual sloop class, matching the distributed modular-fleet proposal.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2024-02-18_T19-09-18_bruships-140-patreon-suggestions-some-interesting-books-hopefully-and-lots-of-naval-history-qs_dE-uQFYhHo8.json #black-swan-distributed-fleet-limits. Phase 2 independent review by audit_batch1; article revision 1082785607. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #black-swan-sloop-concept-2012.
blackbeard	Blackbeard	person	https://en.wikipedia.org/wiki/Blackbeard	yes	approved	Phase 2: The article identifies pirate Edward Teach as Blackbeard, matching the authored naval counterfactual's named pirate.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-08-03_T18-29-46_bruships-205-naval-history-questions-answered-live_zSPKeAUrJqc.json #hms-warrior-blackbeard-counterfactual. Phase 2 independent review by audit_batch2; article revision 1371934667. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blackbeard.
blake-class-protected-cruisers	Blake Class Protected Cruisers	ship class	https://en.wikipedia.org/wiki/Blake-class_cruiser	yes	approved	Phase 2: The article identifies the pair of late-nineteenth-century Royal Navy Blake protected cruisers, matching the authored Edgar comparison and protection discussion.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-12-22_T18-36-25_patreon-14-the-naval-defence-act-of-1889-as-proposed-by-baile-inneraora_7wxkMg6jhEA.json#blake-versus-edgar-cruiser-choice. Additional context references: 1. Phase 2 independent review by audit_batch2; article revision 1370739860. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blake-class-protected-cruisers.
blanco-encalada	Blanco Encalada	individual ship	https://en.wikipedia.org/wiki/Chilean_ironclad_Blanco_Encalada	yes	approved	Phase 2: Article identifies the 1875 Chilean central-battery ironclad and its part in capturing Huascar at Angamos, matching the specific battle contexts.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2022-08-31_T18-00-18_introduction-to-unprotected-protected-and-armoured-cruisers-19th-century-cruisers-p1_w0SCSolgNX8.json #battle-of-angamos-armour-and-firepower. Phase 2 independent review by audit_batch3; article revision 1346289737. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blanco-encalada.
blas-de-lezo	Blas De Lezo	person	https://en.wikipedia.org/wiki/Blas_de_Lezo	yes	approved	Phase 2: Article identifies Spanish admiral Blas de Lezo and the 1741 Cartagena defense against Vernon, matching the campaign contexts.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-03-13_T19-35-38_the-battle-of-cartagena-de-indias-1741-how-not-to-do-combined-operations-naval-history-live_AKag_rerIN0.json #lezo-eslava-prepare-defenses. Phase 2 independent review by audit_batch3; article revision 1362561042. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blas-de-lezo.
blenheim	Blenheim	individual ship	https://en.wikipedia.org/wiki/HMS_Blenheim_(1761)	yes	approved	Phase 2: Article identifies the 90-gun second-rate launched at Woolwich in 1761, matching the Princesa-derived design discussion.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-01-24_T21-30-02_the-great-ships-1st-2nd-and-3rd-rates-in-18th-century_CZvgXwwsx-w.json #princesa-and-british-design-escalation. Phase 2 independent review by audit_batch4; article revision 1356857656. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blenheim.
blohm-and-voss-bv-143-glide-bomb	Blohm & Voss BV 143 Glide Bomb	specific weapon system	https://en.wikipedia.org/wiki/Blohm_%26_Voss_BV_143	yes	approved	Phase 2: The article identifies the BV143 rocket-assisted glide-bomb prototype, matching the exact weapon topic and authored flying-boat armament.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-07-09_T14-45-02_an-introduction-to-flying-boats-and-seaplanes-mothered-by-capability-or-necessity-p3-4-wwii-l_HC5GP7eEkJA.json #blohm-voss-bv-238-convoy-strike-concept. Phase 2 independent review by audit_batch6; article revision 1299702367. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blohm-and-voss-bv-143-glide-bomb.
blonde-class-cruisers	Blonde Class Cruisers	ship class	https://en.wikipedia.org/wiki/Blonde-class_cruiser	yes	approved	Phase 2: Article identifies the two Royal Navy Blonde scout cruisers completed in 1910-1911 as destroyer flotilla leaders, matching their flotilla-support role.	Phase 2 independent review by audit_batch3; article revision 1373693731. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blonde-class-cruisers.
bloodhound-missile	Bloodhound Missile	specific weapon system	https://en.wikipedia.org/wiki/Bloodhound_(missile)	yes	approved	Phase 2: Article identifies the British Bristol Bloodhound ramjet surface-to-air missile, matching air-defence and navalisation contexts.	Phase 2 independent review by audit_batch0; article revision 1371949397. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bloodhound-missile.
blowpipe-missile	Blowpipe Missile	specific weapon system	https://en.wikipedia.org/wiki/Blowpipe_(missile)	yes	approved	Phase 2: The article identifies the British manually guided Blowpipe portable anti-aircraft missile, matching the Falklands and improvised air-defence contexts.	Phase 2 independent review by audit_batch1; article revision 1320589708. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blowpipe-missile.
blue-fox-radar	Blue Fox Radar	specific weapon system	https://en.wikipedia.org/wiki/Ferranti_Blue_Fox	yes	approved	Phase 2: The article identifies Ferranti's British naval airborne radar Blue Fox, matching the authored Sea Harrier interception context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-03-10_T12-00-30_four-random-books-28-mavericks_v30P_ezAbwU.json#blue-fox-radar-practice-intercept. Phase 2 independent review by audit_batch2; article revision 1329498713. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-fox-radar.
blue-marlin	Blue Marlin	individual ship	https://en.wikipedia.org/wiki/MV_Blue_Marlin	yes	approved	Phase 2: Article identifies Dockwise's semisubmersible heavy-lift ship Blue Marlin, matching the authored ship-recovery comparison with Vanguard.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2024-01-25_T19-34-43_patreon-96-odd-ship-designs-that-actually-work_bDDhATftzm8.json #dockwise-vanguard-heavy-lift-strategy. Phase 2 independent review by audit_batch5; article revision 1365603844. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-marlin.
blue-parrot-radar	Blue Parrot Radar	specific weapon system	https://en.wikipedia.org/wiki/AIRPASS	yes	approved	Phase 2: Parent AIRPASS article has a substantive AIRPASS II section explicitly identifying Blue Parrot and its Buccaneer low-level maritime scanning changes, matching the registry.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-11-26_T19-30-06_commodore-michael-clapp-and-the-1982-falklands-war-2historians-2025-starts-off_3gAzOocapUA.json#buccaneer-development-and-801-squadron. Phase 2 independent review by audit_batch3; article revision 1328419248. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-parrot-radar.
blue-ridge-class-command-ships	Blue Ridge Class Command Ships	ship class	https://en.wikipedia.org/wiki/Blue_Ridge-class_command_ship	yes	approved	Phase 2: Article identifies the purpose-built amphibious command-ship class, matching discussion of joint-force command spaces.	Phase 2 independent review by audit_batch4; article revision 1327123469. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-ridge-class-command-ships.
blue-slug	Blue Slug	specific weapon system	https://en.wikipedia.org/wiki/Seaslug_(missile)	yes	approved	Phase 2: Parent article explains Blue Slug's planned anti-ship role, Seaslug guidance basis, cancellation and incorporation into Mark 2.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-09-17_T18-57-27_naval-history-questions-live-with-irn-bru-which-is-a-scottish-soft-drink-not-fizzy-whisky_3M9ae7K2XKU.json #blue-slug-evolution-and-hellcat-successor. Phase 2 independent review by audit_batch4; article revision 1349926353. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-slug.
blue-steel-missile	Blue Steel Missile	specific weapon system	https://en.wikipedia.org/wiki/Blue_Steel_(missile)	yes	approved	Phase 2: Article identifies the British Avro Blue Steel air-launched nuclear standoff missile for the V-bomber force, matching the authored bomber counterfactual.	Phase 2 independent review by audit_batch5; article revision 1362991179. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-steel-missile.
blue-streak	Blue Streak	specific weapon system	https://en.wikipedia.org/wiki/Blue_Streak_(missile)	yes	approved	Phase 2: The article identifies the British Blue Streak ballistic missile and its later Europa-launcher use, matching the authored deterrent and space-launch context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-10-03_T17-02-53_bruships-a-special-questions-what-ifs-till-the-bru-runs-out-7_a2LmlZcxL5M.json #blue-streak-and-polaris-deterrent. Phase 2 independent review by audit_batch6; article revision 1359068951. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-streak.
blue-streak-missile	Blue Streak Missile	specific weapon system	https://en.wikipedia.org/wiki/Blue_Streak_%28missile%29	yes	approved	Phase 2: Article identifies the cancelled British Blue Streak ballistic missile, matching the independent-deterrent counterfactual.	Phase 2 independent review by audit_batch0; article revision 1359068951. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-streak-missile.
blue-vixen-radar	Blue Vixen Radar	specific weapon system	https://en.wikipedia.org/wiki/Blue_Vixen	yes	approved	Phase 2: The article identifies the later Sea Harrier's Ferranti Blue Vixen radar, matching the registry summary and naval-fighter radar contexts.	Phase 2 independent review by audit_batch1; article revision 1237185996. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-vixen-radar.
blue-water	Blue Water	specific weapon system	https://en.wikipedia.org/wiki/Blue_Water_(missile)	yes	approved	Phase 2: The article identifies Britain's early-1960s Blue Water battlefield nuclear missile project, matching the authored Cold War missile-targeting question.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2023-09-24_T18-07-02_bruships-naval-history-questions-answered-till-the-bru-runs-out_94ViyM3r36A.json #blue-water-missiles-and-soviet-targeting. Phase 2 independent review by audit_batch2; article revision 1359243677. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #blue-water.
boadicea-class-scout-cruisers	Boadicea Class Scout Cruisers	ship class	https://en.wikipedia.org/wiki/Boadicea-class_cruiser	yes	approved	Phase 2: Article identifies the Royal Navy's first turbine scout-cruiser class, matching the authored Boadicea machinery and displacement comparisons.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2022-05-24_T18-00-07_boadicea-class-1907-scout-cruiser-long-patrol_S4Uoq3goATs.json #boadicea-class-machinery-range-and-conservative-compromise. Additional context references: 3. Phase 2 independent review by audit_batch5; article revision 1373693852. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #boadicea-class-scout-cruisers.
bob-semple	Bob Semple	person	https://en.wikipedia.org/wiki/Bob_Semple	yes	approved	Phase 2: Biography identifies New Zealand's Public Works minister Bob Semple, matching the minister in the industrial counterfactual.	Phase 2 independent review by audit_batch4; article revision 1347299893. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bob-semple.
bofors-120-mm-gun	Bofors 120 mm Gun	specific weapon system		no	pending	Identity hold: authored contexts cover two different Bofors 120 mm systems: the L/50 twin mounting on Halland/Friesland and the TAK 120 L/46 single mounting on Finnish/Indonesian vessels. Bofors 120 mm gun is disambiguation. Selecting either exact gun article would choose one meaning of the present topic.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2024-11-03_T19-33-16_bruships-169-kalax-o-kalax-my-kingdom-for-a-kalax_fyLo-154cHk.json #friesland-main-gun-ammunition. Additional context references: 1. Supporting or alternative sources: https://en.wikipedia.org/wiki/Bofors_120_mm_Naval_Automatic_Gun_L/50; https://en.wikipedia.org/wiki/Bofors_120_mm_Automatic_Gun_L/46; https://en.wikipedia.org/wiki/Bofors_120_mm_gun.
bofors-152-mm-m42-gun	Bofors 152 mm M/42 Gun	specific weapon system	https://en.wikipedia.org/wiki/Bofors_15%2C2_cm_kanon_m/42	yes	approved	Phase 2: Article identifies Bofors 152 mm m/42 and its Dutch and Swedish cruiser origins, matching the exact model and long international service context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2022-08-30_T18-00-03_tre-kronor-class-because-the-swedish-had-a-lot-of-bofors-guns-to-use_6h3Y40V1BX4.json#bofors-152mm-m42-service-life. Phase 2 independent review by audit_batch3; article revision 1235643110. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bofors-152-mm-m42-gun.
bofors-40-mm	Bofors 40 mm	specific weapon system		no	pending	Follow-up title/family searches confirm a mixed scope: authored wartime L/60 uses coexist with modern Type 31 L/70/Mk4 uses. Bofors 40 mm gun is a navigation index, while L/60 and L/70 have separate articles. Preserve the family-wide scope until a topic-splitting or link-scope decision; neither individual gun article covers the whole topic.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2020-04-28_T16-58-50_sloops-during-the-inter-war-what-were-they-for_X4DNlAtAzYE.json#hmcs-haida-four-inch-aa-armament. Additional context references: 1. Supporting or alternative sources: https://en.wikipedia.org/wiki/Bofors_40_mm_gun; https://en.wikipedia.org/wiki/Bofors_40_mm_L/60_gun; https://en.wikipedia.org/wiki/Bofors_40_mm_Automatic_Gun_L/70; https://en.wikipedia.org/wiki/Bofors_40_Mk4.
bofors-40-mm-l43-gun	Bofors 40 mm L43 Gun	specific weapon system	https://en.wikipedia.org/wiki/Bofors_40_mm_L/60_gun	yes	approved	Phase 2: Parent article explicitly covers the L/43 submarine variant, shorter barrel, reduced-charge ammunition and retractable mounting.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-05-22_T18-36-45_40mm-aa-in-wwii-pom-pom-or-bofors-how-did-the-two-systems-compare-in-theory-and-practice_1kDqbhUWphU.json #swedish-requirement-creates-bofors-l60. Phase 2 independent review by audit_batch4; article revision 1373881112. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bofors-40-mm-l43-gun.
bofors-40-mm-l60-gun	Bofors 40 mm L/60 Gun	specific weapon system	https://en.wikipedia.org/wiki/Bofors_40_mm_L/60_gun	yes	approved	Phase 2: Article identifies the 1930s Swedish Bofors 40-mm L/60 autocannon, matching the registry and authored comparison with contemporary pom-poms.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-06-21_T18-30-06_pom-pom-or-bofors-which-40mm-do-you-want_kunGO8864Zo.json #bofors-baltic-requirement-and-development. Additional context references: 2. Phase 2 independent review by audit_batch5; article revision 1373881112. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bofors-40-mm-l60-gun.
bofors-40-mm-l70-gun	Bofors 40 mm L/70 Gun	specific weapon system	https://en.wikipedia.org/wiki/Bofors_40_mm_Automatic_Gun_L/70	yes	approved	Phase 2: The article identifies the Swedish Bofors 40mm L70 gun developed after the war, matching the exact L70 registry topic and naval-adoption discussion.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-05-22_T18-36-45_40mm-aa-in-wwii-pom-pom-or-bofors-how-did-the-two-systems-compare-in-theory-and-practice_1kDqbhUWphU.json #qa-royal-navy-and-bofors-l70. Phase 2 independent review by audit_batch6; article revision 1372401461. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bofors-40-mm-l70-gun.
bofors-57-mm	Bofors 57 mm	specific weapon system	https://en.wikipedia.org/wiki/Bofors_57_mm_Naval_Automatic_Gun_L/70	yes	approved	Phase 2: Article identifies the Bofors 57 mm L/70 naval automatic gun family, matching the modern 57-versus-76 mm comparison.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2026-09-12_T19-04-29_air-defence-at-sea-from-air-ships-in-1906-to-drones-in-2026-and-everything-in-between_GdSmILLiJvg.json#76-mm-and-40-mm-guns-for-interlocking-defence. Phase 2 independent review by audit_batch0; article revision 1371750774. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bofors-57-mm.
bogue-class-escort-carriers	Bogue Class Escort Carriers	ship class	https://en.wikipedia.org/wiki/Bogue-class_escort_carrier	yes	approved	Phase 2: The article identifies the United States-built wartime escort carriers using C3 hull designs, matching the authored Bogue construction-family discussion.	Phase 2 independent review by audit_batch6; article revision 1363311536. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bogue-class-escort-carriers.
bois-belleau	Bois Belleau	individual ship	https://en.wikipedia.org/wiki/USS_Belleau_Wood_(CVL-24)	yes	approved	Phase 2: The article's French Navy section explicitly covers the renaming as Bois Belleau and 1950s Indochina service, matching the authored transferred-carrier context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2024-04-16_T19-00-11_french-naval-aviation-a-quick-historical-overview-and-introduction-to-it-s-squadrons_J5Vg2B0V5Nk.json #postwar-french-naval-aviation-and-expeditionary-reconstruction. Phase 2 independent review by audit_batch6; article revision 1373581482. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bois-belleau.
boka-vanguard	Boka Vanguard	individual ship	https://en.wikipedia.org/wiki/BOKA_Vanguard	yes	approved	Phase 2: Article identifies the semisubmersible heavy-lift ship and offshore docking capability, matching the recovery-resource context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2024-01-27_T21-04-48_twelve-odd-ships_ashJCD0THps.json #boka-vanguard-heavy-lift-recovery. Phase 2 independent review by audit_batch0; article revision 1364898800. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #boka-vanguard.
bolzano	Bolzano	individual ship	https://en.wikipedia.org/wiki/Italian_cruiser_Bolzano	yes	approved	Phase 2: The article identifies Italy's modified Trento-derived heavy cruiser, matching the authored speed, machinery and protection discussion.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2022-07-14_T18-02-08_projecting-mussonlini-s-mare-nostrum-italian-1920s-and-1930s-cruiser-design-doctrine_m65RWgfdKak.json #bolzano-industrial-politics-and-speed. Phase 2 independent review by audit_batch1; article revision 1364973295. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bolzano.
bonhomme-richard	Bonhomme Richard	individual ship	https://en.wikipedia.org/wiki/USS_Bonhomme_Richard_(1765)	yes	approved	Phase 2: The article identifies John Paul Jones's former French East Indiaman Duc de Duras, matching the authored merchant-design origin of Bonhomme Richard.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-06-11_T17-35-08_patreon-25-history-of-east-india-company-merchantmen-and-differences-to-ship-of-the-line_ENuVS7RvAag.json #bonhomme-richard-and-east-india-merchant-design. Phase 2 independent review by audit_batch2; article revision 1374277267. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bonhomme-richard.
bonner-fellers	Bonner Fellers	person	https://en.wikipedia.org/wiki/Bonner_Fellers	yes	approved	Phase 2: Biography identifies MacArthur's wartime aide and explicitly covers his postwar efforts concerning Hirohito's responsibility, matching the authored trial context.	Phase 2 independent review by audit_batch5; article revision 1359416111. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bonner-fellers.
booker-t-washington	Booker T. Washington	person	https://en.wikipedia.org/wiki/Booker_T._Washington	yes	approved	Phase 2: The biography identifies the contemporary African-American educator and leader, matching the authored Booker T. Washington correspondence context in Mahan's life.	Phase 2 independent review by audit_batch6; article revision 1374740215. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #booker-t-washington.
bora-class-missile-hovercraft	Bora Class Missile Hovercraft	ship class	https://en.wikipedia.org/wiki/Bora-class_corvette	yes	approved	Phase 2: Article identifies Project 1239 Bora hoverborne missile corvettes, matching the Russian missile-hovercraft context.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-11-14_T18-01-37_bruships-60-covid-jab-bad-back-and-new-books_hpEdeeDDGDY.json #bora-class-speed-versus-endurance. Phase 2 independent review by audit_batch0; article revision 1360452315. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #bora-class-missile-hovercraft.
borei-class-submarines	Borei Class Submarines	ship class	https://en.wikipedia.org/wiki/Borei-class_submarine	yes	approved	Phase 2: The article identifies Russia's Project 955 and 955A ballistic-missile submarines, matching the contemporary SSBN and bastion contexts.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2025-05-11_T18-32-15_bruships-193-naval-history-questions-answered-live_SIEDuY1vNgE.json#russian-bastion-strategy. Additional context references: 1. Phase 2 independent review by audit_batch1; article revision 1368809179. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #borei-class-submarines.
boris-johnson	Boris Johnson	person	https://en.wikipedia.org/wiki/Boris_Johnson	yes	approved	Phase 2: Biography identifies the British politician Boris Johnson, matching the British referendum and government-leadership contexts.	Phase 2 independent review by audit_batch0; article revision 1374759551. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #boris-johnson.
boris-yeltsin	Boris Yeltsin	person	https://en.wikipedia.org/wiki/Boris_Yeltsin	yes	approved	Phase 2: The biography identifies Boris Yeltsin, Russia's president during 1991-1999, consistent with the post-Soviet shipbuilding context.	Phase 2 independent review by audit_batch1; article revision 1374730789. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #boris-yeltsin.
borodino-class-battlecruisers	Borodino Class Battlecruisers	ship class	https://en.wikipedia.org/wiki/Borodino-class_battlecruiser	yes	approved	Phase 2: The article identifies the uncompleted Imperial Russian Borodino/Izmail battlecruisers laid down in 1912, matching the authored large-gun design.	Phase 1 research, 2026-09-13. Authored context: src/derived/video-segments/2021-05-18_T18-30-18_some-more-battle-cruisers_e5x1tFUtwhQ.json #borodino-fast-battleship-character. Additional context references: 5. Phase 2 independent review by audit_batch2; article revision 1373692809. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #borodino-class-battlecruisers.
borodino-class-battleships	Borodino Class Battleships	ship class	https://en.wikipedia.org/wiki/Borodino-class_battleship	yes	approved	Phase 2: Article identifies Russia's five Borodino pre-dreadnoughts and the four sent to Tsushima, matching the expedition and battle-loss contexts.	Phase 2 independent review by audit_batch3; article revision 1372096293. Detailed evidence: 2026-09-12_T20-06-02-0500_topic-wikipedia-links-phase2-evidence.json #borodino-class-battleships.
